TimeStamp,Humidity,Temperature,Moisture
01:17:32,76%,32°C,0%
01:17:32,76%,32°C,0%
01:18:01,76%,32°C,0%
01:18:25,76%,32°C,0%
01:18:48,76%,32°C,0%
01:19:11,76%,32°C,0%
01:19:34,76%,32°C,0%
01:21:01,76%,32°C,0%
01:21:01,76%,32°C,0%
01:21:29,76%,32°C,0%
01:21:53,76%,32°C,0%
01:22:15,76%,32°C,0%
01:22:38,76%,32°C,0%
01:23:00,76%,32°C,0%
01:23:23,76%,32°C,0%
01:23:45,76%,32°C,0%
01:24:10,76%,32°C,0%
01:24:33,76%,32°C,0%
01:24:55,76%,32°C,0%
01:25:20,76%,32°C,0%
01:25:43,76%,32°C,0%
01:26:05,76%,32°C,0%
01:26:27,76%,32°C,0%
01:26:50,76%,32°C,0%
01:27:14,76%,32°C,0%
01:27:37,76%,32°C,0%
01:28:01,76%,32°C,0%
01:28:24,76%,32°C,0%
01:28:47,76%,32°C,0%
01:29:11,76%,32°C,0%
01:29:34,76%,32°C,0%
01:29:58,76%,32°C,0%
01:30:23,76%,32°C,0%
01:30:48,76%,32°C,0%
01:31:09,76%,32°C,0%
01:31:33,76%,32°C,0%
01:31:55,76%,32°C,0%
01:32:18,76%,32°C,0%
01:32:41,76%,32°C,0%
01:33:04,76%,32°C,0%
01:33:28,76%,32°C,0%
01:33:51,76%,32°C,0%
01:34:14,76%,32°C,0%
01:34:37,76%,32°C,0%
01:35:01,76%,32°C,0%
01:35:24,76%,32°C,0%
01:35:47,76%,32°C,0%
01:36:10,76%,32°C,0%
01:36:39,76%,32°C,0%
01:37:01,76%,32°C,0%
01:37:24,76%,32°C,0%
01:37:46,76%,32°C,0%
01:38:09,76%,32°C,0%
01:38:32,76%,32°C,0%
01:38:54,76%,32°C,0%
01:39:18,76%,32°C,0%
01:39:44,76%,32°C,0%
01:40:07,76%,32°C,0%
01:40:31,76%,32°C,0%
01:40:55,76%,32°C,0%
01:41:18,76%,32°C,0%
01:41:40,76%,32°C,0%
01:43:26,76%,32°C,0%
01:43:26,76%,32°C,0%
01:43:54,76%,32°C,0%
01:44:18,76%,32°C,0%
01:44:42,76%,32°C,0%
01:45:07,76%,32°C,0%
01:45:30,76%,32°C,0%
01:45:53,76%,32°C,0%
01:46:20,76%,32°C,0%
01:46:43,76%,32°C,0%
01:47:08,76%,32°C,0%
01:47:33,76%,32°C,0%
01:48:34,76%,32°C,0%
01:48:58,76%,32°C,0%
01:49:23,76%,32°C,0%
01:49:46,76%,32°C,0%
01:50:09,76%,32°C,0%
01:50:32,76%,32°C,0%
01:50:55,76%,32°C,0%
01:51:20,76%,32°C,0%
01:51:44,76%,32°C,0%
01:52:06,76%,32°C,0%
01:52:32,76%,32°C,0%
01:52:56,76%,32°C,0%
01:53:19,76%,32°C,0%
01:53:42,0%,0°C,0%
01:54:06,76%,32°C,0%
01:54:28,75%,32°C,0%
01:54:51,0%,0°C,0%
01:55:15,75%,32°C,0%
01:55:40,76%,32°C,0%
01:56:06,76%,32°C,0%
01:56:28,76%,32°C,0%
01:56:52,76%,32°C,0%
01:57:15,76%,32°C,0%
01:57:38,76%,32°C,0%
01:58:01,76%,32°C,0%
01:58:24,76%,32°C,0%
01:58:48,76%,32°C,0%
01:59:10,76%,32°C,0%
01:59:33,76%,32°C,0%
01:59:57,76%,32°C,0%
02:00:19,76%,32°C,0%
02:00:41,76%,32°C,0%
02:01:04,76%,32°C,0%
02:01:26,76%,32°C,0%
02:01:50,76%,32°C,0%
02:02:13,76%,32°C,0%
02:02:36,76%,32°C,0%
02:03:00,76%,32°C,0%
02:03:22,76%,32°C,0%
02:03:45,76%,32°C,0%
02:04:09,76%,32°C,0%
02:04:34,76%,32°C,0%
02:04:59,76%,32°C,0%
02:05:21,76%,32°C,0%
02:05:44,76%,32°C,0%
02:06:06,76%,32°C,0%
02:06:30,76%,32°C,0%
02:06:52,76%,32°C,0%
02:07:17,76%,32°C,0%
02:07:40,76%,32°C,0%
02:08:05,76%,32°C,0%
02:08:29,76%,32°C,0%
02:08:53,76%,32°C,0%
02:09:17,76%,32°C,0%
02:09:41,76%,32°C,0%
02:10:05,76%,32°C,0%
02:10:27,76%,32°C,0%
02:10:50,76%,32°C,0%
02:11:15,76%,32°C,0%
02:11:39,76%,32°C,0%
02:12:02,76%,32°C,0%
02:12:25,76%,32°C,0%
02:12:47,76%,32°C,0%
02:13:10,76%,32°C,0%
02:13:33,76%,32°C,0%
02:13:56,76%,32°C,0%
02:14:22,76%,32°C,0%
02:14:46,76%,32°C,0%
02:15:08,76%,32°C,0%
02:15:32,76%,32°C,0%
02:15:55,76%,32°C,0%
02:16:19,76%,32°C,0%
02:16:42,76%,32°C,0%
02:17:06,76%,32°C,0%
02:17:30,76%,32°C,0%
02:17:53,76%,32°C,0%
02:18:17,76%,32°C,0%
02:18:40,76%,32°C,0%
02:19:03,76%,32°C,0%
02:19:25,76%,32°C,0%
02:19:48,76%,32°C,0%
02:20:11,76%,32°C,0%
02:20:38,76%,32°C,0%
02:21:01,76%,32°C,0%
02:21:24,76%,32°C,0%
02:21:47,76%,32°C,0%
02:22:10,76%,32°C,0%
02:22:32,76%,32°C,0%
02:22:55,76%,32°C,0%
02:23:18,76%,32°C,0%
02:23:43,76%,32°C,0%
02:24:05,76%,32°C,0%
02:24:59,76%,32°C,0%
02:24:59,76%,32°C,0%
02:25:27,76%,32°C,0%
02:25:50,76%,32°C,0%
02:26:13,76%,32°C,0%
02:26:36,76%,32°C,0%
02:27:00,76%,32°C,0%
02:27:22,76%,32°C,0%
02:27:43,76%,32°C,0%
02:28:08,76%,32°C,0%
202305111242,69%,34°C,55%
202305111242,69%,34°C,55%
202305111242,69%,34°C,55%
202305111242,68%,34°C,55%
202305111243,68%,34°C,55%
202305111244,68%,34°C,55%
202305111245,70%,34°C,55%
202305111245,69%,34°C,55%
202305111246,70%,34°C,55%
202305111246,69%,34°C,55%
202305111247,69%,34°C,55%
202305111247,69%,34°C,55%
202305111248,69%,34°C,55%
202305111248,69%,34°C,55%
202305111249,69%,34°C,55%
202305111249,69%,34°C,55%
202305111250,69%,34°C,55%
202305111250,69%,34°C,56%
202305111251,69%,34°C,56%
202305111252,68%,34°C,56%
202305111252,69%,34°C,55%
202305111253,69%,34°C,55%
202305111253,68%,34°C,56%
202305111254,68%,34°C,56%
202305111254,68%,34°C,56%
202305111255,70%,34°C,56%
202305111256,68%,34°C,56%
202305111256,70%,34°C,56%
202305111257,70%,0°C,56%
202305111257,70%,34°C,56%
202305111258,70%,34°C,56%
202305111258,69%,34°C,56%
202305111259,69%,3°C,56%
202305111259,69%,34°C,56%
20230511130,69%,34°C,56%
20230511130,69%,34°C,56%
20230511131,70%,34°C,56%
20230511132,70%,34°C,56%
20230511135,69%,34°C,56%
20230511137,70%,34°C,56%
20230511137,70%,34°C,56%
20230511138,70%,34°C,56%
202305111310,69%,34°C,56%
202305111310,69%,34°C,56%
202305111311,71%,34°C,56%
202305111312,70%,34°C,56%
202305111313,70%,34°C,56%
202305111314,70%,34°C,56%
202305111315,70%,34°C,56%
202305111317,70%,34°C,56%
202305111319,70%,0°C,56%
202305111319,70%,0°C,56%
202305111320,70%,34°C,56%
202305111321,70%,34°C,56%
202305111323,70%,34°C,56%
202305111324,70%,34°C,56%
202305111325,70%,34°C,56%
202305111325,70%,34°C,56%
202305111326,70%,34°C,56%
202305111326,71%,34°C,56%
202305111327,71%,34°C,56%
202305111328,70%,34°C,58%
202305111328,71%,3°C,56%
202305111329,71%,34°C,56%
